"place","lat","lon","family","type","years","comments","place_year"
"Урлук","50.047222","107.891465","","","1814","**1814:** Семен, отставной солдат","Урлук (1814)"
"Усть-Каменный Исток","52.190305","83.707156","","","1864-1867","(совр. с. Коробейниково)<br>**1864:** свадьба Терентия Петровича (отставной с Николаевского руд.)<br>**1867:** Терентий Петрович умер","Усть-Каменный Исток (1864-1867)"
"Усть-Каменогорск","49.948481","82.626131","","factory","","**1845:** у Александра Васильевича родилась дочь (ранее в Смоленском редуте)","Усть-Каменогорск"
"Усть-Камышенка","52.053959","83.191712","","","1900","**1841:** по окладной книге нет Мурзинцевых<br>**1900:** Терентий Флегонтович переселился из д. Шипуново","Усть-Камышенка (1900)"
"Усть-Сосново","55.226624","84.992814","","church","","в приходе Николаевской церкви:<br>- Русаково","Усть-Сосново"
"Усть-Чарышская пр.","52.392305","83.666371","чаус","","c 1816","**1816:** у Федота Афанасьевича (из д. Савинская) родился сын<br>Мурзинцевы продолжали жить до XX века","Усть-Чарышская пр. (c 1816)"
"Усть-Юл","57.741261","85.482389","сел","","с 1930-х","**1931:** ссыльнопоселенец Афанасий Севастьянович (из д. Селезнево)<br>Его дети проживали, возможно, до 1980-х гг.","Усть-Юл (с 1930-х)"
"Утятская","55.700567","66.904545","","","1800","(совр. с. Утичье)<br>**1800:** у Василия умерла дочь","Утятская (1800)"
"Хорошавка","52.875704","80.296765","","","1919","**1919:** у Антона Евсеевича родился сын","Хорошавка (1919)"
"Царево-Александровский прииск","52.812289","88.107244","","mine","1834-1850","(координаты требуется уточнить)<br>**1834:** рудоразборщик Ефим Фотиевич<br>**1850:** Ефим Фотиевич переведён на Змеиногорский руд.","Царево-Александровский прииск (1834-1850)"
"Чаус","55.342167","82.780069","чаус","","1748-1868","**1742:** по ИР нет Мурзинцевых<br>**1748:** по 2-й ревизии живёт семья Бориса Мурзинцева<br>**1868:** родился Андрей Мурзинцев (внебрачный)","Чаус (1748-1868)"
"Чингис","54.125728","81.619947","","church","","в приходе Петропавловской церкви:<br>- Ершёво","Чингис"
"Шарчино","53.1387","81.748308","сел","church","1901-1907","(второе название — Грамотино)<br>**1901:** Иннокентий Николаевич (из д. Селезнево) поручитель на свадьбе<br>**1907:** Иннокентий Николаевич выдал дочь замуж<br>**1917:** по переписи нет Мурзинцевых (Иннокентий Николаевич живёт в д. Селезнево)","Шарчино (1901-1907)"
"Шимолино","52.999831","79.977029","суз","","с 1894","**1816:** по 7-й ревизии числится семья Фаддея Ивановича, но фактически они жили в д. Новотюменцево<br>**1894:** у Федора Авксентьевича родился сын","Шимолино (с 1894)"
"Шипуново","52.158136","82.220648","","","1900","**1841:** по окладной книге нет Мурзинцевых<br>**1900:** Терентий Флегонтович переселился в д. Усть-Камышенка","Шипуново (1900)"
